iter	Passed	Remaining
0	5	5183
1	9	4725
2	12	4305
3	16	4105
4	19	3950
5	22	3796
6	26	3701
7	29	3648
8	32	3627
9	37	3703
10	40	3665
11	44	3642
12	47	3591
13	51	3628
14	55	3673
15	60	3702
16	63	3675
17	67	3666
18	72	3725
19	75	3695
20	78	3662
21	82	3667
22	87	3705
23	91	3728
24	95	3733
25	100	3746
26	104	3769
27	107	3735
28	110	3711
29	113	3684
30	119	3720
31	123	3739
32	127	3729
33	131	3746
34	135	3731
35	138	3702
36	142	3698
37	147	3724
38	151	3744
39	155	3738
40	159	3740
41	164	3752
42	168	3742
43	171	3722
44	174	3712
45	179	3728
46	183	3729
47	187	3720
48	192	3727
49	196	3742
50	200	3730
51	203	3717
52	207	3705
53	212	3718
54	216	3720
55	219	3705
56	223	3698
57	226	3685
58	229	3664
59	233	3661
60	238	3678
61	241	3655
62	244	3639
63	247	3617
64	249	3595
65	252	3572
66	255	3552
67	257	3530
68	260	3513
69	262	3493
70	267	3494
71	272	3506
72	276	3506
73	280	3511
74	285	3525
75	290	3532
76	294	3532
77	299	3545
78	305	3557
79	309	3556
80	314	3570
81	319	3579
82	324	3581
83	329	3589
84	334	3598
85	338	3599
86	343	3605
87	348	3607
88	351	3602
89	355	3592
90	358	3580
91	361	3566
92	364	3553
93	367	3541
94	370	3528
95	373	3514
96	376	3500
97	377	3479
98	380	3465
99	383	3453
100	387	3446
101	389	3431
102	392	3415
103	394	3400
104	397	3385
105	400	3373
106	404	3372
107	407	3364
108	411	3361
109	414	3351
110	417	3343
111	421	3340
112	425	3337
113	429	3340
114	433	3336
115	437	3337
116	442	3341
117	447	3342
118	451	3341
119	456	3346
120	460	3346
121	465	3347
122	470	3352
123	475	3357
124	478	3351
125	483	3354
126	488	3356
127	492	3354
128	496	3353
129	500	3347
130	505	3350
131	509	3348
132	512	3341
133	517	3343
134	521	3339
135	524	3329
136	528	3327
137	531	3321
138	535	3314
139	539	3314
140	543	3312
141	547	3308
142	551	3305
143	554	3297
144	557	3287
145	561	3286
146	566	3285
147	570	3281
148	574	3279
149	578	3279
150	585	3291
151	589	3288
152	593	3286
153	598	3289
154	602	3283
155	604	3270
156	608	3269
157	612	3262
158	616	3258
159	619	3251
160	624	3253
161	628	3250
162	633	3252
163	637	3250
164	641	3248
165	646	3247
166	651	3247
167	656	3249
168	659	3243
169	664	3243
170	669	3245
171	674	3246
172	678	3244
173	682	3237
174	685	3231
175	690	3231
176	693	3223
177	696	3215
178	699	3206
179	703	3205
180	708	3204
181	712	3200
182	716	3200
183	720	3197
184	724	3191
185	728	3187
186	732	3183
187	737	3183
188	741	3181
189	745	3176
190	750	3176
191	753	3172
192	756	3164
193	760	3161
194	765	3159
195	770	3158
196	773	3153
197	777	3149
198	781	3147
199	785	3143
200	787	3131
201	790	3124
202	795	3124
203	800	3121
204	804	3118
205	808	3117
206	813	3116
207	817	3111
208	821	3107
209	825	3104
210	828	3096
211	831	3090
212	834	3082
213	839	3082
214	844	3084
215	849	3081
216	854	3082
217	859	3082
218	863	3079
219	868	3078
220	873	3078
221	878	3077
222	882	3073
223	886	3072
224	891	3071
225	895	3067
226	900	3065
227	905	3065
228	909	3063
229	913	3059
230	918	3059
231	924	3058
232	927	3054
233	932	3053
234	937	3053
235	942	3049
236	946	3047
237	951	3046
238	956	3045
239	960	3042
240	965	3040
241	970	3039
242	974	3036
243	979	3035
244	984	3033
245	988	3029
246	991	3023
247	995	3017
248	998	3010
249	1000	3002
250	1003	2994
251	1007	2990
252	1010	2984
253	1015	2983
254	1020	2980
255	1024	2976
256	1028	2973
257	1033	2971
258	1037	2969
259	1041	2965
260	1045	2961
261	1049	2956
262	1052	2950
263	1056	2946
264	1060	2941
265	1065	2940
266	1069	2937
267	1074	2935
268	1079	2932
269	1082	2927
270	1087	2925
271	1092	2924
272	1097	2921
273	1101	2919
274	1105	2914
275	1110	2913
276	1113	2906
277	1116	2900
278	1121	2898
279	1126	2896
280	1130	2891
281	1134	2889
282	1139	2886
283	1142	2881
284	1147	2878
285	1152	2876
286	1157	2875
287	1162	2872
288	1167	2871
289	1171	2868
290	1176	2865
291	1181	2864
292	1186	2862
293	1190	2859
294	1196	2858
295	1201	2857
296	1205	2852
297	1210	2851
298	1215	2848
299	1219	2845
300	1223	2840
301	1228	2839
302	1233	2837
303	1238	2835
304	1243	2833
305	1248	2831
306	1252	2828
307	1257	2826
308	1263	2825
309	1267	2821
310	1272	2818
311	1277	2816
312	1281	2813
313	1286	2810
314	1291	2809
315	1296	2806
316	1300	2802
317	1305	2799
318	1309	2796
319	1314	2792
320	1318	2788
321	1322	2785
322	1327	2782
323	1331	2778
324	1336	2775
325	1341	2773
326	1345	2769
327	1350	2766
328	1355	2764
329	1360	2761
330	1364	2757
331	1368	2754
332	1373	2750
333	1376	2745
334	1381	2741
335	1384	2736
336	1389	2733
337	1393	2728
338	1396	2723
339	1401	2720
340	1404	2715
341	1408	2709
342	1411	2703
343	1414	2698
344	1417	2691
345	1420	2684
346	1423	2677
347	1425	2670
348	1428	2664
349	1431	2657
350	1433	2650
351	1436	2644
352	1439	2637
353	1441	2631
354	1444	2625
355	1447	2618
356	1450	2612
357	1453	2607
358	1457	2602
359	1461	2598
360	1464	2592
361	1468	2588
362	1473	2585
363	1477	2581
364	1483	2580
365	1487	2576
366	1491	2571
367	1495	2567
368	1498	2562
369	1501	2557
370	1506	2554
371	1511	2551
372	1515	2547
373	1519	2543
374	1524	2540
375	1529	2538
376	1533	2533
377	1537	2529
378	1542	2526
379	1546	2523
380	1550	2519
381	1555	2516
382	1560	2514
383	1565	2511
384	1570	2508
385	1575	2505
386	1579	2502
387	1584	2498
388	1589	2497
389	1594	2493
390	1599	2490
391	1603	2486
392	1606	2481
393	1609	2475
394	1614	2473
395	1619	2470
396	1623	2466
397	1628	2462
398	1631	2456
399	1636	2454
400	1640	2450
401	1645	2447
402	1650	2444
403	1654	2441
404	1659	2438
405	1664	2434
406	1668	2431
407	1673	2428
408	1679	2426
409	1684	2423
410	1688	2420
411	1694	2417
412	1698	2413
413	1702	2409
414	1707	2407
415	1712	2404
416	1716	2399
417	1721	2396
418	1726	2393
419	1730	2389
420	1733	2384
421	1737	2379
422	1742	2376
423	1746	2372
424	1750	2368
425	1755	2365
426	1759	2361
427	1764	2358
428	1769	2355
429	1774	2352
430	1778	2348
431	1783	2344
432	1788	2341
433	1791	2336
434	1794	2331
435	1799	2327
436	1804	2324
437	1809	2321
438	1813	2317
439	1818	2314
440	1822	2310
441	1825	2305
442	1829	2299
443	1833	2295
444	1837	2291
445	1840	2285
446	1844	2281
447	1848	2277
448	1852	2273
449	1855	2267
450	1860	2265
451	1864	2260
452	1869	2256
453	1873	2253
454	1878	2249
455	1883	2246
456	1887	2243
457	1893	2240
458	1898	2238
459	1903	2234
460	1909	2232
461	1914	2229
462	1917	2224
463	1921	2219
464	1925	2215
465	1930	2212
466	1933	2206
467	1938	2203
468	1943	2200
469	1948	2197
470	1952	2193
471	1958	2190
472	1963	2187
473	1968	2184
474	1973	2181
475	1978	2177
476	1983	2175
477	1989	2172
478	1994	2169
479	1999	2165
480	2004	2163
481	2009	2159
482	2014	2156
483	2020	2153
484	2025	2150
485	2028	2145
486	2033	2142
487	2038	2139
488	2042	2134
489	2047	2130
490	2051	2126
491	2056	2122
492	2059	2118
493	2063	2113
494	2068	2110
495	2073	2106
496	2077	2102
497	2082	2099
498	2086	2094
499	2089	2089
500	2093	2085
501	2099	2082
502	2104	2079
503	2109	2075
504	2113	2071
505	2118	2067
506	2121	2062
507	2125	2058
508	2128	2053
509	2133	2049
510	2136	2044
511	2141	2040
512	2146	2037
513	2151	2033
514	2156	2030
515	2160	2026
516	2164	2022
517	2167	2016
518	2172	2012
519	2177	2009
520	2182	2006
521	2186	2002
522	2192	1999
523	2196	1995
524	2201	1991
525	2205	1987
526	2210	1984
527	2215	1980
528	2220	1976
529	2225	1973
530	2229	1969
531	2234	1965
532	2239	1962
533	2244	1958
534	2248	1954
535	2253	1950
536	2258	1947
537	2262	1943
538	2268	1939
539	2273	1936
540	2277	1932
541	2282	1928
542	2287	1925
543	2292	1921
544	2297	1917
545	2302	1914
546	2307	1910
547	2312	1907
548	2316	1903
549	2321	1899
550	2325	1895
551	2330	1891
552	2333	1886
553	2337	1881
554	2340	1876
555	2345	1873
556	2350	1869
557	2354	1864
558	2357	1859
559	2362	1856
560	2368	1853
561	2372	1848
562	2377	1845
563	2382	1842
564	2387	1837
565	2392	1834
566	2397	1830
567	2402	1827
568	2407	1823
569	2412	1820
570	2418	1816
571	2422	1812
572	2427	1809
573	2432	1804
574	2442	1804
575	2451	1804
576	2461	1804
577	2470	1803
578	2480	1803
579	2488	1801
580	2493	1798
581	2499	1794
582	2505	1791
583	2510	1788
584	2515	1784
585	2520	1781
586	2526	1777
587	2531	1774
588	2537	1770
589	2542	1766
